job_id,titre,secteur,localisation,type_contrat,groupe_contrat,entreprise,type_entreprise,poste,date_publication,description,profil,competences,localisation_norm,text_profile
JOB250002533,Gestionnaire de stocks,"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,ADIE SOLUTIONS,,1.0,2025-10-28 00:00:00,,,,brazzaville,"Gestionnaire de stocks Commerce, Vente, Marketing & Distribution"
JOB250001768,Agent Exploitation Escale,"Transport, Logistique & Supply Chain",BRAZZAVILLE,CDD,Emploi Temporaire,AERCO (Aéroports du Congo),,1.0,2025-07-24 00:00:00,,,,brazzaville,"Agent Exploitation Escale Transport, Logistique & Supply Chain"
JOB250001769,Agent Exploitation Aérogare,"Transport, Logistique & Supply Chain",BRAZZAVILLE,CDD,Emploi Temporaire,AERCO (Aéroports du Congo),,1.0,2025-07-24 00:00:00,,,,brazzaville,"Agent Exploitation Aérogare Transport, Logistique & Supply Chain"
JOB250000969,coordinateur des operations logistiques,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-04-23 00:00:00,,,,pointe-noire,"coordinateur des operations logistiques Transport, Logistique & Supply Chain"
JOB250001179,CAISSIER,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-05-20 00:00:00,,,,pointe-noire,"CAISSIER Transport, Logistique & Supply Chain"
JOB250001212,RESPONSABLE D'ENTREPOT,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-05-22 00:00:00,,,,pointe-noire,"RESPONSABLE D'ENTREPOT Transport, Logistique & Supply Chain"
JOB250001213,GESTIONNAIRE DE STOCK,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-05-22 00:00:00,,,,pointe-noire,"GESTIONNAIRE DE STOCK Transport, Logistique & Supply Chain"
JOB250001328,Responsable Audit Interne,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDI,Emploi Durable,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-06-05 00:00:00,,,,pointe-noire,"Responsable Audit Interne Transport, Logistique & Supply Chain"
JOB250001622,Chef magasinier,"Industrie, Production & Maintenance",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-07-04 00:00:00,,,,pointe-noire,"Chef magasinier Industrie, Production & Maintenance"
JOB250001650,Administrateur Réseaux-Téléccom & Controle Accès,"Informatique, Data, Télécommunications & Digital",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-07-08 00:00:00,,,,pointe-noire,"Administrateur Réseaux-Téléccom & Controle Accès Informatique, Data, Télécommunications & Digital"
JOB250001856,OPERATEUR DOSSIER (FOP),"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDI,Emploi Durable,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-08-04 00:00:00,,,,pointe-noire,"OPERATEUR DOSSIER (FOP) Transport, Logistique & Supply Chain"
JOB250001857,AGENTS DE RECOUVREMENT,"Finance, Banque, Assurance, Comptabilité & Fiscalité",POINTE-NOIRE,CDI,Emploi Durable,AFRICA GLOBAL LOGISTICS CONGO (AGL),,2.0,2025-08-04 00:00:00,,,,pointe-noire,"AGENTS DE RECOUVREMENT Finance, Banque, Assurance, Comptabilité & Fiscalité"
JOB250002348,Coordinateur des Opérations,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-10-03 00:00:00,,,,pointe-noire,"Coordinateur des Opérations Transport, Logistique & Supply Chain"
JOB250002366,Assistant Qualité,"Assurance Qualité, Contrôle, Testing (QHSE)",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-10-07 00:00:00,,,,pointe-noire,"Assistant Qualité Assurance Qualité, Contrôle, Testing (QHSE)"
JOB250002561,Superviseur des Opérations Logistiques,"Commerce, Vente, Marketing & Distribution",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-11-04 00:00:00,,,,pointe-noire,"Superviseur des Opérations Logistiques Commerce, Vente, Marketing & Distribution"
JOB250002847,Fiscaliste,"Finance, Banque, Assurance, Comptabilité & Fiscalité",POINTE-NOIRE,CDI,Emploi Durable,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-12-19 00:00:00,,,,pointe-noire,"Fiscaliste Finance, Banque, Assurance, Comptabilité & Fiscalité"
JOB250002848,Responsable Administratif et Financier Shipping,"Conseil, Stratégie & Gestion des Ressources Humaines",POINTE-NOIRE,CDI,Emploi Durable,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-12-19 00:00:00,,,,pointe-noire,"Responsable Administratif et Financier Shipping Conseil, Stratégie & Gestion des Ressources Humaines"
JOB250002849,Controleur de Gestion,"Finance, Banque, Assurance, Comptabilité & Fiscalité",POINTE-NOIRE,CDI,Emploi Durable,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-12-19 00:00:00,,,,pointe-noire,"Controleur de Gestion Finance, Banque, Assurance, Comptabilité & Fiscalité"
JOB250002852,Responsable Développement RH,"Conseil, Stratégie & Gestion des Ressources Humaines",POINTE-NOIRE,CDI,Emploi Durable,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-12-19 00:00:00,,,,pointe-noire,"Responsable Développement RH Conseil, Stratégie & Gestion des Ressources Humaines"
NONREF000399,Responsable Qualité,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICA GLOBAL LOGISTICS CONGO (AGL),,1.0,2025-12-30,,,,pointe-noire,"Responsable Qualité Transport, Logistique & Supply Chain"
JOB250002181,Directeur Administratif et Financier,"Finance, Banque, Assurance, Comptabilité & Fiscalité",POINTE-NOIRE,CDI,Emploi Durable,AFRICA LEADER CONTRACTING INDUSTRIES,,1.0,2025-09-09 00:00:00,,,,pointe-noire,"Directeur Administratif et Financier Finance, Banque, Assurance, Comptabilité & Fiscalité"
JOB250001762,Agent Customer Registration (KYC),"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,AFRICA MOTOR COMPANY,,1.0,2025-07-24 00:00:00,,,,brazzaville,"Agent Customer Registration (KYC) Commerce, Vente, Marketing & Distribution"
NONREF000044,Assistante RH,"Conseil, Stratégie & Gestion des Ressources Humaines",POINTE-NOIRE,CDD,Emploi Temporaire,AFRICAINE DES M C,,1.0,2025-02-24 00:00:00,,,,pointe-noire,"Assistante RH Conseil, Stratégie & Gestion des Ressources Humaines"
NONREF000162,Jardiniers,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AFRIK GLOBAL EXTENSION,,1.0,2025-01-29 00:00:00,,,,pointe-noire,"Jardiniers Transport, Logistique & Supply Chain"
NONREF000214,Responsable logistique,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDI,Emploi Durable,AFRIK GLOBAL EXTENSION,,1.0,2025-01-29 00:00:00,,,,pointe-noire,"Responsable logistique Transport, Logistique & Supply Chain"
JOB250000839,SOUDEUR,"Industrie, Production & Maintenance",POINTE-NOIRE,CDI,Emploi Durable,AFRIK GLOBAL EXTENSION HR CONGO SARL,,1.0,2025-03-07 00:00:00,,,,pointe-noire,"SOUDEUR Industrie, Production & Maintenance"
JOB250000840,RESPONSABLE PONT ADJOINT,"Commerce, Vente, Marketing & Distribution",POINTE-NOIRE,CDI,Emploi Durable,AFRIK GLOBAL EXTENSION HR CONGO SARL,,1.0,2025-03-07 00:00:00,,,,pointe-noire,"RESPONSABLE PONT ADJOINT Commerce, Vente, Marketing & Distribution"
JOB250000841,CHEF D'EQUIPE MECANICIEN,"Commerce, Vente, Marketing & Distribution",POINTE-NOIRE,CDI,Emploi Durable,AFRIK GLOBAL EXTENSION HR CONGO SARL,,1.0,2025-03-07 00:00:00,,,,pointe-noire,"CHEF D'EQUIPE MECANICIEN Commerce, Vente, Marketing & Distribution"
JOB250001775,RESPONSABLE DE STOCK,"Conseil, Stratégie & Gestion des Ressources Humaines",POINTE-NOIRE,CDI,Emploi Durable,AFRIK GLOBAL EXTENSION HR CONGO SARL,,1.0,2025-07-25 00:00:00,,,,pointe-noire,"RESPONSABLE DE STOCK Conseil, Stratégie & Gestion des Ressources Humaines"
JOB250001859,Assistant Logistique,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AFRIK GLOBAL EXTENSION HR CONGO SARL,,1.0,2025-08-05 00:00:00,,,,pointe-noire,"Assistant Logistique Transport, Logistique & Supply Chain"
NONREF000108,Conducteur pelle,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AFRIKA GLOBAL EXTENSION,,1.0,2025-01-21 00:00:00,,,,pointe-noire,"Conducteur pelle Transport, Logistique & Supply Chain"
NONREF000084,Chef d'équipe mécanicien,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDI,Emploi Durable,AFRIK-GLOBAL,,1.0,2025-03-18 00:00:00,,,,pointe-noire,"Chef d'équipe mécanicien Transport, Logistique & Supply Chain"
NONREF000218,Responsable Pont,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDI,Emploi Durable,AFRIK-GLOBAL,,1.0,2025-03-15 00:00:00,,,,pointe-noire,"Responsable Pont Transport, Logistique & Supply Chain"
NONREF000233,Soudeur,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDI,Emploi Durable,AFRIK-GLOBAL,,1.0,2025-03-18 00:00:00,,,,pointe-noire,"Soudeur Transport, Logistique & Supply Chain"
JOB250001820,INSTRUMENTISTES,"Pétrole, Gaz & Hydrocarbures",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,10.0,2025-07-31 00:00:00,,,,pointe-noire,"INSTRUMENTISTES Pétrole, Gaz & Hydrocarbures"
JOB250001821,SPECIALISTER.H,"Bâtiment, Travaux Publics & Aménagement du Territoire",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-07-31 00:00:00,,,,pointe-noire,"SPECIALISTER.H Bâtiment, Travaux Publics & Aménagement du Territoire"
JOB250001822,SERVANT ( Cuisine et Ménage),"Conseil, Stratégie & Gestion des Ressources Humaines",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-07-31 00:00:00,,,,pointe-noire,"SERVANT ( Cuisine et Ménage) Conseil, Stratégie & Gestion des Ressources Humaines"
JOB250001824,RESPONSABLE FINANCIER,"Bâtiment, Travaux Publics & Aménagement du Territoire",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-07-31 00:00:00,,,,pointe-noire,"RESPONSABLE FINANCIER Bâtiment, Travaux Publics & Aménagement du Territoire"
JOB250001826,COMPTABLE,"Bâtiment, Travaux Publics & Aménagement du Territoire",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-07-31 00:00:00,,,,pointe-noire,"COMPTABLE Bâtiment, Travaux Publics & Aménagement du Territoire"
JOB250001827,RESPONSABLE DE RESOURCE HUMAINES,"Bâtiment, Travaux Publics & Aménagement du Territoire",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-07-31 00:00:00,,,,pointe-noire,"RESPONSABLE DE RESOURCE HUMAINES Bâtiment, Travaux Publics & Aménagement du Territoire"
JOB250001828,CHEF DE PROJET,"Bâtiment, Travaux Publics & Aménagement du Territoire",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-07-31 00:00:00,,,,pointe-noire,"CHEF DE PROJET Bâtiment, Travaux Publics & Aménagement du Territoire"
JOB250001829,TECHNICIEN D'INSTALLATION,"Bâtiment, Travaux Publics & Aménagement du Territoire",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-07-31 00:00:00,,,,pointe-noire,"TECHNICIEN D'INSTALLATION Bâtiment, Travaux Publics & Aménagement du Territoire"
JOB250001831,GEOMETRE,"Bâtiment, Travaux Publics & Aménagement du Territoire",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-08-01 00:00:00,,,,pointe-noire,"GEOMETRE Bâtiment, Travaux Publics & Aménagement du Territoire"
JOB250001833,AIDE GEOMETRE,"Bâtiment, Travaux Publics & Aménagement du Territoire",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-08-01 00:00:00,,,,pointe-noire,"AIDE GEOMETRE Bâtiment, Travaux Publics & Aménagement du Territoire"
JOB250001836,CONDUCTEUR D'EQUIPEMENT,"Bâtiment, Travaux Publics & Aménagement du Territoire",POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-08-01 00:00:00,,,,pointe-noire,"CONDUCTEUR D'EQUIPEMENT Bâtiment, Travaux Publics & Aménagement du Territoire"
JOB250002089,Ingénieur Agronome Forestier (Chef de projet),Exploitation Forestière & Bois,POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-09-01 00:00:00,,,,pointe-noire,Ingénieur Agronome Forestier (Chef de projet) Exploitation Forestière & Bois
JOB250002094,Ouvrier Forestier,Agriculture & Industrie Agroalimentaire,POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-09-02 00:00:00,,,,pointe-noire,Ouvrier Forestier Agriculture & Industrie Agroalimentaire
JOB250002095,Chauffeur Grutier,Agriculture & Industrie Agroalimentaire,POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-09-02 00:00:00,,,,pointe-noire,Chauffeur Grutier Agriculture & Industrie Agroalimentaire
JOB250002097,Conducteur d'Engin,Agriculture & Industrie Agroalimentaire,POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-09-02 00:00:00,,,,pointe-noire,Conducteur d'Engin Agriculture & Industrie Agroalimentaire
JOB250002098,Pépinieriste Forestier,Agriculture & Industrie Agroalimentaire,POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-09-02 00:00:00,,,,pointe-noire,Pépinieriste Forestier Agriculture & Industrie Agroalimentaire
JOB250002099,Spécialiste en protection des végétaux,Agriculture & Industrie Agroalimentaire,POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-09-02 00:00:00,,,,pointe-noire,Spécialiste en protection des végétaux Agriculture & Industrie Agroalimentaire
JOB250002100,Technicien Forestier,Agriculture & Industrie Agroalimentaire,POINTE-NOIRE,CDD,Emploi Temporaire,AG GROUP,,1.0,2025-09-02 00:00:00,,,,pointe-noire,Technicien Forestier Agriculture & Industrie Agroalimentaire
NONREF000005,Agent commercial ligne Mart,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AGL,,1.0,2025-02-14 00:00:00,,,,pointe-noire,"Agent commercial ligne Mart Transport, Logistique & Supply Chain"
NONREF000013,Agent logistique et Int,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AGL,,1.0,2025-02-14 00:00:00,,,,pointe-noire,"Agent logistique et Int Transport, Logistique & Supply Chain"
NONREF000052,Auditeur interne junior,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDD,Emploi Temporaire,AGL,,1.0,2025-01-31 00:00:00,,,,pointe-noire,"Auditeur interne junior Transport, Logistique & Supply Chain"
NONREF000096,Comptable,"Transport, Logistique & Supply Chain",POINTE-NOIRE,CDI,Emploi Durable,AGL,,1.0,2025-01-02 00:00:00,,,,pointe-noire,"Comptable Transport, Logistique & Supply Chain"
JOB250001715,Assistant de Direction,"Conseil, Stratégie & Gestion des Ressources Humaines",POINTE-NOIRE,CDD,Emploi Temporaire,AGROVA,,1.0,2025-07-21 00:00:00,,,,pointe-noire,"Assistant de Direction Conseil, Stratégie & Gestion des Ressources Humaines"
JOB250002289,AGRONOME,Agriculture & Industrie Agroalimentaire,POINTE-NOIRE,CDD,Emploi Temporaire,AGROVA,,1.0,2025-09-23 00:00:00,,,,pointe-noire,AGRONOME Agriculture & Industrie Agroalimentaire
NONREF000055,Business developer,"Industrie, Production & Maintenance",POINTE-NOIRE,CDD,Emploi Temporaire,AIR LIQUIDE,,1.0,2025-01-21 00:00:00,,,,pointe-noire,"Business developer Industrie, Production & Maintenance"
JOB250001232,Superviseur Marketing - Internet Résidentiel (Home Broadband),"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,AIRTEL CONGO SA,,1.0,2025-05-25 00:00:00,,,,brazzaville,"Superviseur Marketing - Internet Résidentiel (Home Broadband) Commerce, Vente, Marketing & Distribution"
JOB250001233,Superviseur Régional des Ventes - Internet Résidentiel HBB (Home Broadband),"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,AIRTEL CONGO SA,,1.0,2025-05-25 00:00:00,,,,brazzaville,"Superviseur Régional des Ventes - Internet Résidentiel HBB (Home Broadband) Commerce, Vente, Marketing & Distribution"
JOB250001234,Analyste des activités - Internet Résidentiel HBB (Home Broadband),"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,AIRTEL CONGO SA,,1.0,2025-05-25 00:00:00,,,,brazzaville,"Analyste des activités - Internet Résidentiel HBB (Home Broadband) Commerce, Vente, Marketing & Distribution"
JOB250001235,Superviseur Expérience Client - Internet Résidentiel,"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,AIRTEL CONGO SA,,1.0,2025-05-25 00:00:00,,,,brazzaville,"Superviseur Expérience Client - Internet Résidentiel Commerce, Vente, Marketing & Distribution"
JOB250001591,SPECIALISTE FRAUDE,"Informatique, Data, Télécommunications & Digital",BRAZZAVILLE,CDD,Emploi Temporaire,AIRTEL CONGO SA,,1.0,2025-07-03 00:00:00,,,,brazzaville,"SPECIALISTE FRAUDE Informatique, Data, Télécommunications & Digital"
JOB250001684,contrôleur interne,"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,AIRTEL CONGO SA,,1.0,2025-07-14 00:00:00,,,,brazzaville,"contrôleur interne Commerce, Vente, Marketing & Distribution"
JOB250001951,DISTRIBUTION MANAGER,"Transport, Logistique & Supply Chain",BRAZZAVILLE,CDD,Emploi Temporaire,AIRTEL CONGO SA,,1.0,2025-08-14 00:00:00,,,,brazzaville,"DISTRIBUTION MANAGER Transport, Logistique & Supply Chain"
JOB250002615,ASSISTANT DES OPERATIONS AIRTEL MONEY,"Informatique, Data, Télécommunications & Digital",BRAZZAVILLE,CDD,Emploi Temporaire,AIRTEL CONGO SA,,1.0,2025-11-07 00:00:00,,,,brazzaville,"ASSISTANT DES OPERATIONS AIRTEL MONEY Informatique, Data, Télécommunications & Digital"
JOB250002769,Head-Business segment(chef de secteur d'activité),"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,AIRTEL CONGO SA,,1.0,2025-12-05 00:00:00,,,,brazzaville,"Head-Business segment(chef de secteur d'activité) Commerce, Vente, Marketing & Distribution"
JOB250001014,CHEF DE PRODUIT,"Informatique, Data, Télécommunications & Digital",BRAZZAVILLE,CDI,Emploi Durable,AKIENI,,1.0,2025-04-29 00:00:00,,,,brazzaville,"CHEF DE PRODUIT Informatique, Data, Télécommunications & Digital"
JOB250001442,Assistant Polyvalent,"Conseil, Stratégie & Gestion des Ressources Humaines",BRAZZAVILLE,CDD,Emploi Temporaire,AKIENI,,1.0,2025-06-20 00:00:00,,,,brazzaville,"Assistant Polyvalent Conseil, Stratégie & Gestion des Ressources Humaines"
JOB250002167,COMPTABLE,"Finance, Banque, Assurance, Comptabilité & Fiscalité",BRAZZAVILLE,CDD,Emploi Temporaire,AKIENI,,1.0,2025-09-08 00:00:00,,,,brazzaville,"COMPTABLE Finance, Banque, Assurance, Comptabilité & Fiscalité"
JOB250002216,Directeur Administratif et Financier,"Conseil, Stratégie & Gestion des Ressources Humaines",BRAZZAVILLE,CDI,Emploi Durable,AKIENI,,1.0,2025-09-11 00:00:00,,,,brazzaville,"Directeur Administratif et Financier Conseil, Stratégie & Gestion des Ressources Humaines"
JOB250002218,RESPONSABLE DESRESSOURSES HUMAINES,"Conseil, Stratégie & Gestion des Ressources Humaines",BRAZZAVILLE,CDI,Emploi Durable,AKIENI,,1.0,2025-09-11 00:00:00,,,,brazzaville,"RESPONSABLE DESRESSOURSES HUMAINES Conseil, Stratégie & Gestion des Ressources Humaines"
JOB250002349,Ingénieur Devops Senior,"Informatique, Data, Télécommunications & Digital",BRAZZAVILLE,CDI,Emploi Durable,AKIENI,,1.0,2025-10-03 00:00:00,,,,brazzaville,"Ingénieur Devops Senior Informatique, Data, Télécommunications & Digital"
JOB250001020,CHAUFFEUR DU DIRECTEUR GENERAL,"Transport, Logistique & Supply Chain",BRAZZAVILLE,CDD,Emploi Temporaire,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-04-30 00:00:00,,,,brazzaville,"CHAUFFEUR DU DIRECTEUR GENERAL Transport, Logistique & Supply Chain"
JOB250001030,COMMIS DE CUISINE,Hôtellerie - Restauration,BRAZZAVILLE,CDI,Emploi Durable,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,COMMIS DE CUISINE Hôtellerie - Restauration
JOB250001031,MENUISIER,Hôtellerie - Restauration,BRAZZAVILLE,CDD,Emploi Temporaire,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,MENUISIER Hôtellerie - Restauration
JOB250001032,PLONGEUR,Hôtellerie - Restauration,BRAZZAVILLE,CDD,Emploi Temporaire,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,PLONGEUR Hôtellerie - Restauration
JOB250001033,Responsable de garde,Hôtellerie - Restauration,BRAZZAVILLE,CDD,Emploi Temporaire,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,Responsable de garde Hôtellerie - Restauration
JOB250001034,RESPONSABLE SÉCURITÉ,"Sécurité, Sûreté & Défense",BRAZZAVILLE,CDD,Emploi Temporaire,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,"RESPONSABLE SÉCURITÉ Sécurité, Sûreté & Défense"
JOB250001035,Technicien Audiovisuel,"Communication, Médias & Événementiel",BRAZZAVILLE,CDI,Emploi Durable,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,"Technicien Audiovisuel Communication, Médias & Événementiel"
JOB250001036,RESPONSABLE MARKETING,"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDI,Emploi Durable,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,"RESPONSABLE MARKETING Commerce, Vente, Marketing & Distribution"
JOB250001037,RESPENSABLE COMMERCIAL,"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,"RESPENSABLE COMMERCIAL Commerce, Vente, Marketing & Distribution"
JOB250001038,AGENTS DE RELATIONS CLIENTS,"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,"AGENTS DE RELATIONS CLIENTS Commerce, Vente, Marketing & Distribution"
JOB250001039,RESPONSABLE DE NUIT,Hôtellerie - Restauration,BRAZZAVILLE,CDD,Emploi Temporaire,AL OTHMAN REAL ESTATE GROUP,,1.0,2025-05-06 00:00:00,,,,brazzaville,RESPONSABLE DE NUIT Hôtellerie - Restauration
