Matricule,Age,Qualification,Secteur d'activité,Objectif,Diplome,Genre,niveau_etude,qualification_metier,secteur_metier,Filière / Spécialité,Secteur demandé,Métier visé / Qualification visée,Mobilité géographique,mobilite_norm,text_profile
PPPOO2501240018325,25,droit privé,Droit et Justice,Emploi,Licence,Homme,Bac +3,Juriste Droit Prive,Droit et Justice,Droit privé,Non déclaré,droit privé,Non déclaré,non déclaré,droit privé Juriste Droit Prive Droit privé Emploi droit privé Licence Bac +3
PPBZV2501280018593,24,administration et des ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Femme,Bac +3,Assistant en Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Aucune,Non déclaré,Administration et des Ressources Humaines,Non déclaré,non déclaré,Administration et des Ressources Humaines Assistant en Ressources Humaines Aucune Emploi administration et des ressources humaines Pas de diplôme Bac +3
PPPNR2501190017629,29,gestionnaire des ressources humaines,Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Emploi,Pas de diplôme,Homme,Bac +4/+5 et plus,Gestionnaire de Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Aucune,Non déclaré,Gestionnaire des ressources humaines,Non déclaré,non déclaré,Gestionnaire des ressources humaines Gestionnaire de Ressources Humaines Aucune Emploi gestionnaire des ressources humaines Pas de diplôme Bac +4/+5 et plus
PPAUT2501160017370,37,electrotechnicien,Divers,Emploi,BAC Technique,Homme,Bac,Technicien en Électrotechnique,"Industrie, Production & Maintenance",Bac F3,Non déclaré,ElectroTechnicien,Non déclaré,non déclaré,ElectroTechnicien Technicien en Électrotechnique Bac F3 Emploi electrotechnicien BAC Technique Bac
PPPOO2501230018134,34,chauffeur et conducteur,Divers,Emploi,Licence,Homme,Bac +3,Chauffeur,"Transport, Logistique & Supply Chain",Géosciences,Non déclaré,Chauffeur et Conducteur,Non déclaré,non déclaré,Chauffeur et Conducteur Chauffeur Géosciences Emploi chauffeur et conducteur Licence Bac +3
PPPOO2501230018139,24,agent de sécurité,Sécurité et Gardiennage – Protection des Installations Stratégiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de Securite,"Sécurité, Sûreté & Défense",Aucune,Non déclaré,Agent de sécurité,Non déclaré,non déclaré,Agent de sécurité Agent de Securite Aucune Emploi agent de sécurité Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPOO2501310019001,28,informaticienne,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Emploi,Baccalauréat Général,Femme,Bac,Technicien Informatique,"Informatique, Data, Télécommunications & Digital",Bac A,Non déclaré,Informaticienne,Non déclaré,non déclaré,Informaticienne Technicien Informatique Bac A Emploi informaticienne Baccalauréat Général Bac
PPPOO2501310019037,24,etudiant,Éducation - Formation - Enseignement,Stage,BAC Technique,Homme,Bac,Etudiant,Parcours Étudiant et Formation,Comptabilité,Non déclaré,Etudiant,Non déclaré,non déclaré,Etudiant Etudiant Comptabilité Stage etudiant BAC Technique Bac
PPPLA2501270018500,37,electrotechnicien,Divers,Emploi,Baccalauréat Technologique,Homme,Bac,Technicien en Électrotechnique,"Industrie, Production & Maintenance",Bac F3,Non déclaré,ElectroTechnicien,Non déclaré,non déclaré,ElectroTechnicien Technicien en Électrotechnique Bac F3 Emploi electrotechnicien Baccalauréat Technologique Bac
PPCUV2501160017297,29,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Bac D,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Bac D Emploi pompiste Baccalauréat Général Bac
PPCUV2501160017318,44,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Aucune,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Aucune Emploi pompiste Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPCUV2501160017335,50,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Aucune,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Aucune Emploi pompiste Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPLIK2501030015771,32,agent commercial,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Commercial,"Commerce, Vente, Marketing & Distribution",Bac D,Non déclaré,Agent Commercial,Non déclaré,non déclaré,Agent Commercial Commercial Bac D Emploi agent commercial Baccalauréat Général Bac
PPLIK2501090016474,24,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac A,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac A Emploi manœuvre Baccalauréat Général Bac
PPLIK2501090016518,22,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac A,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac A Emploi manœuvre Baccalauréat Général Bac
PPLIK2501170017451,25,technicien de surface,Divers,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent de propreté et d'hygiène,"Énergie, Environnement & Eau",Sécurité Privée,Non déclaré,Technicien de surface,Non déclaré,non déclaré,Technicien de surface Agent de propreté et d'hygiène Sécurité Privée Emploi technicien de surface Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501170017565,40,maçon,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Maçon,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Maçon,Non déclaré,non déclaré,Maçon Maçon Aucune Emploi maçon Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501190017622,39,électricien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Électricien,"Énergie, Environnement & Eau",Aucune,Non déclaré,Électricien,Non déclaré,non déclaré,Électricien Électricien Aucune Emploi électricien Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501200017672,40,technicienne de surface,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Technicien de Surface,Services à la Personne & Social,Aucune,Non déclaré,technicienne de surface,Non déclaré,non déclaré,technicienne de surface Technicien de Surface Aucune Emploi technicienne de surface Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2501110016729,23,etudiant,Éducation - Formation - Enseignement,Emploi,Pas de diplôme,Homme,Bac +3,Etudiant,Parcours Étudiant et Formation,Aucune,Non déclaré,Etudiant,Non déclaré,non déclaré,Etudiant Etudiant Aucune Emploi etudiant Pas de diplôme Bac +3
PPLIK2501230018163,27,électricie,Non déclaré,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Électricien,"Énergie, Environnement & Eau",Aucune,Non déclaré,Électricie,Non déclaré,non déclaré,Électricie Électricien Aucune Emploi électricie Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501310019025,22,aucune,Divers,Emploi,Baccalauréat Général,Homme,Bac,Aucune,Divers,Bac A,Non déclaré,Aucune,Non déclaré,non déclaré,Aucune Aucune Bac A Emploi aucune Baccalauréat Général Bac
PPLIK2501310019121,20,maçon,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Brevet d'Etude Technique (BET),Homme,Bac,Maçon,"Bâtiment, Travaux Publics & Aménagement du Territoire",Maçonnerie,Non déclaré,Maçon,Non déclaré,non déclaré,Maçon Maçon Maçonnerie Emploi maçon Brevet d'Etude Technique (BET) Bac
PPBOU2502070019785,43,mécanicien,Machines et équipements / Automobile,Emploi,Pas de diplôme,Homme,Post-secondaire – Professionnel,Mecanicien,"Industrie, Production & Maintenance",Aucune,Énergie Renouvelable - Solaire - Éolien - Biomasse - Hydroélectrique - Électricité - Énergie,Mécanicien,Non,non,Mécanicien Mecanicien Aucune Énergie Renouvelable - Solaire - Éolien - Biomasse - Hydroélectrique - Électricité - Énergie Emploi mécanicien Pas de diplôme Post-secondaire – Professionnel
PPLIK2501080016406,52,assistants de santé,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Emploi,Baccalauréat Général,Homme,Bac,Assistant Medical,"Santé, Pharmacie & Recherche Scientifique",Bac D,Non déclaré,assistants de santé,Non déclaré,non déclaré,assistants de santé Assistant Medical Bac D Emploi assistants de santé Baccalauréat Général Bac
PPLIK2501080016421,19,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Etude Technique (BET),Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Électricité bâtiment,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Électricité bâtiment Emploi manœuvre Brevet d'Etude Technique (BET) Bac
PPBZV2502130020238,28,"cadre finances, comptabilité et gestion",Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim,Stage,Pas de diplôme,Homme,Bac +4/+5 et plus,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Aucune,Non déclaré,"Cadre Finances, Comptabilité et Gestion",Non déclaré,non déclaré,"Cadre Finances, Comptabilité et Gestion Comptable Aucune Stage cadre finances, comptabilité et gestion Pas de diplôme Bac +4/+5 et plus"
PPLIK2501080016427,46,sage-femme,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Sage-Femme,"Santé, Pharmacie & Recherche Scientifique",Aucune,Non déclaré,Sage-femme,Non déclaré,non déclaré,Sage-femme Sage-Femme Aucune Emploi sage-femme Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501080016428,29,infirmière,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Infirmier,"Santé, Pharmacie & Recherche Scientifique",Aucune,Non déclaré,Infirmière,Non déclaré,non déclaré,Infirmière Infirmier Aucune Emploi infirmière Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501080016429,29,vendeur/vendeuse en pharmacie.,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Vente Spécialisée - Pharmacie,"Commerce, Vente, Marketing & Distribution",Aucune,Non déclaré,vendeur/vendeuse en pharmacie.,Non déclaré,non déclaré,vendeur/vendeuse en pharmacie. Vente Spécialisée - Pharmacie Aucune Emploi vendeur/vendeuse en pharmacie. Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501080016430,71,sage-femme,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Emploi,Baccalauréat Général,Femme,Bac,Sage-Femme,"Santé, Pharmacie & Recherche Scientifique",Bac C,Non déclaré,Sage-femme,Non déclaré,non déclaré,Sage-femme Sage-Femme Bac C Emploi sage-femme Baccalauréat Général Bac
PPLIK2501090016460,58,infirmier,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Emploi,Baccalauréat Général,Homme,Bac,Infirmier,"Santé, Pharmacie & Recherche Scientifique",Bac D,Non déclaré,Infirmier,Non déclaré,non déclaré,Infirmier Infirmier Bac D Emploi infirmier Baccalauréat Général Bac
PPLIK2501090016466,58,infirmière,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Infirmier,"Santé, Pharmacie & Recherche Scientifique",Aucune,Non déclaré,Infirmière,Non déclaré,non déclaré,Infirmière Infirmier Aucune Emploi infirmière Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501090016467,54,laborantin,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Technicien de laboratoire,"Santé, Pharmacie & Recherche Scientifique",Aucune,Non déclaré,Laborantin,Non déclaré,non déclaré,Laborantin Technicien de laboratoire Aucune Emploi laborantin Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501090016527,29,infirmière,Santé - Médecine - Pharmacie - vente de produits pharmaceutiques,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Infirmier,"Santé, Pharmacie & Recherche Scientifique",Aucune,Non déclaré,Infirmière,Non déclaré,non déclaré,Infirmière Infirmier Aucune Emploi infirmière Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501150017261,26,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501160017426,24,aucune,Divers,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Aucune,Divers,Aucune,Non déclaré,Aucune,Non déclaré,non déclaré,Aucune Aucune Aucune Emploi aucune Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501170017559,24,mécanicien,Machines et équipements / Automobile,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Mecanicien,"Industrie, Production & Maintenance",Aucune,Non déclaré,Mécanicien,Non déclaré,non déclaré,Mécanicien Mecanicien Aucune Emploi mécanicien Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501170017561,32,abatteur,Agriculture - Agroalimentaire - Brasserie - Produits laitiers - Boulangerie,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Abatteur,Agriculture & Industrie Agroalimentaire,Aucune,Non déclaré,abatteur,Non déclaré,non déclaré,abatteur Abatteur Aucune Emploi abatteur Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPLIK2501170017563,25,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPLIK2501170017570,34,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPLIK2501230018160,27,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Certificat d'Études Primaires Élémentaires (CEPE) Primaire
PPLIK2501310019120,31,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2501020015591,53,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Professionnel,Femme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Secrétariat,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Secrétariat Emploi pompiste Baccalauréat Professionnel Bac
PPBZV2501020015592,28,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Bac D,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Bac D Emploi manœuvre Baccalauréat Général Bac
PPBZV2501020015594,24,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet de Technicien Supérieur (BTS),Homme,Post-secondaire – Professionnel,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Électricité industrielle,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Électricité industrielle Emploi manœuvre Brevet de Technicien Supérieur (BTS) Post-secondaire – Professionnel
PPBZV2501020015596,39,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Bac A,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Bac A Emploi pompiste Baccalauréat Général Bac
PPBZV2502050019526,35,assistant responsable projet,Social,Emploi,Pas de diplôme,Homme,Bac +3,Assistant Chef de Projet,"Conseil, Stratégie & Gestion des Ressources Humaines",Aucune,Non déclaré,Assistant Responsable projet,Non déclaré,non déclaré,Assistant Responsable projet Assistant Chef de Projet Aucune Emploi assistant responsable projet Pas de diplôme Bac +3
PPBZV2501020015598,33,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Femme,Secondaire 1,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Marketing,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Marketing Emploi pompiste Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPBZV2501020015599,34,juriste,Droit et Justice,Emploi,Licence,Homme,Bac +3,Juriste,Droit et Justice,Droit des Affaires et Fiscalité,Non déclaré,Juriste,Non déclaré,non déclaré,Juriste Juriste Droit des Affaires et Fiscalité Emploi juriste Licence Bac +3
PPBZV2501020015600,25,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence Professionnelle,Femme,Bac +3,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Comptabilité,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Comptabilité Emploi pompiste Licence Professionnelle Bac +3
PPBZV2501020015602,28,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence Professionnelle,Femme,Bac +3,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Banque et Finance,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Banque et Finance Emploi pompiste Licence Professionnelle Bac +3
PPBZV2501020015607,24,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Homme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Bac A,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Bac A Emploi pompiste Baccalauréat Général Bac
PPBZV2501020015609,22,administrateur réseau,Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation,Stage,BAC Technique,Homme,Bac,Administrateur Réseaux & Télécoms,"Informatique, Data, Télécommunications & Digital",Réseaux et Télécommunications,Non déclaré,Administrateur réseau,Non déclaré,non déclaré,Administrateur réseau Administrateur Réseaux & Télécoms Réseaux et Télécommunications Stage administrateur réseau BAC Technique Bac
PPBZV2501020015610,32,agent d'entretien,Nettoyage - Blanchisserie - Pressing,Emploi,Baccalauréat Général,Femme,Bac,Agent d'Entretien,Services à la Personne & Social,Bac D,Non déclaré,Agent d'entretien,Non déclaré,non déclaré,Agent d'entretien Agent d'Entretien Bac D Emploi agent d'entretien Baccalauréat Général Bac
PPBZV2501020015612,34,chef de service gestion hse en exécution de projet,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Master,Femme,Bac +4/+5 et plus,Chef de Service HSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Droit des Affaires et Fiscalité,Communication - Médias - Informations - Community Manager - Audiovisuel et Multimédia - Journalisme,Chef de Service Gestion HSE en Exécution de Projet,Non,non,Chef de Service Gestion HSE en Exécution de Projet Chef de Service HSE Droit des Affaires et Fiscalité Communication - Médias - Informations - Community Manager - Audiovisuel et Multimédia - Journalisme Emploi chef de service gestion hse en exécution de projet Master Bac +4/+5 et plus
PPBZV2501020015614,35,gestionnaire comptable et financière,Audits - Finance - Banque - Assurance - Fiscalité - Comptabilité - Expertise Comptable,Emploi,Baccalauréat Professionnel,Femme,Bac,Comptable,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Comptabilité,Non déclaré,Gestionnaire comptable et financière,Non déclaré,non déclaré,Gestionnaire comptable et financière Comptable Comptabilité Emploi gestionnaire comptable et financière Baccalauréat Professionnel Bac
PPBZV2501020015616,38,commerciale,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence Professionnelle,Homme,Bac +3,Commercial,"Commerce, Vente, Marketing & Distribution",Gestion comptable et financier,Non déclaré,Commerciale,Non déclaré,non déclaré,Commerciale Commercial Gestion comptable et financier Emploi commerciale Licence Professionnelle Bac +3
PPBZV2501020015617,46,soudeur,Génie Civil - Construction - Bâtiment et Travaux - Architecture,Emploi,Brevet d'Etude Technique (BET),Homme,Bac,Soudeur,"Industrie, Production & Maintenance",Soudure Homologué,Non déclaré,Soudeur,Non déclaré,non déclaré,Soudeur Soudeur Soudure Homologué Emploi soudeur Brevet d'Etude Technique (BET) Bac
PPBZV2501020015620,30,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,BAC Technique,Femme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Comptabilité,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Comptabilité Emploi pompiste BAC Technique Bac
PPBZV2501020015622,27,pompiste,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Baccalauréat Général,Femme,Bac,Employé de station-service,"Commerce, Vente, Marketing & Distribution",Bac D,Non déclaré,Pompiste,Non déclaré,non déclaré,Pompiste Employé de station-service Bac D Emploi pompiste Baccalauréat Général Bac
